,pubkey,alias,color,software,oldestchannel,openchannels,closedchannels,capacity,avg_duration,avg_open_fee,avg_close_fee,close_types
0,025d03912061771608cab55d84cefdecc3bba766085371cf63b454ce1f31fd441d,BlockWisdom.com,1cafe1,c-lightning,571480,0,53,0,19450.283018867925,7857.88679245283,8143.641509433963,"{'force': 14, 'mutual': 39, 'penalty': 0}"
1,0246672a7ef5bfec532bb6a5983d0f57935338df53f133e7b88a94bcb0455a9f19,Rob,68f442,lnd,602093,1,7,500000,32421.5,183.125,2537.5714285714284,"{'force': 3, 'mutual': 4, 'penalty': 0}"
2,02203d17d56d95d657ce7e5cc0867b415042767f051c78010c127899a0a45da15d,CharleeGraceful,3399ff,lnd,571126,8,6,6905848,38055.42857142857,5036.142857142857,5128.333333333333,"{'force': 2, 'mutual': 4, 'penalty': 0}"
3,03b6b0a2a5e8300e2645f7728e699606d1df0408492ad6c88631d569ebcf511151,patcher_lightning,3ddfff,lnd,547159,7,12,852522,55011.26315789474,2294.2631578947367,14413.666666666668,"{'force': 8, 'mutual': 4, 'penalty': 0}"
4,02651453a2e1a3329d577f1f268ffa4f74ec3fa3574d3ccc0a9d188a5a9cbceb20,Ed,68f442,lnd,570499,1,5,64259,32303.333333333332,10047.666666666666,8187.0,"{'force': 5, 'mutual': 0, 'penalty': 0}"
5,02e4aaf7c4f4b8ccb105ddf90ff991a76d43a2b732bac12dda043add4ef51846ed,Merkle,3399ff,lnd,552954,1,9,1000000,30365.5,10453.5,14841.0,"{'force': 7, 'mutual': 2, 'penalty': 0}"
6,022f0d68ae1cf0981ddc81313f3373945bd21719b30d1ae106bd86dafe46b6e523,,,lnd,563443,0,3,0,14105.333333333332,4529.333333333333,6041.0,"{'force': 1, 'mutual': 2, 'penalty': 0}"
7,022eef7c7d61d3e6fc893f6854d0548f86b7d9ec26f790cf5d97a32de958ea8bc7,022eef7c7d61d3e6fc89,3399ff,lnd,644445,1,0,2000000,790.0,8787.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
8,02d1f9ffec0d0f3a528ff21a9ab2630fbf7607ac10461a7f2bd6ac57654d3961eb,,,lnd,559879,1,1,50000,49730.0,1975.5,3647.0,"{'force': 1, 'mutual': 0, 'penalty': 0}"
9,03835f7b42fc558ff1cc80d5153d9a649ed607141c097bcda4bd3acc8537116f01,03835f7b42fc558ff1cc,3399ff,lnd,638351,1,0,93585,6884.0,6415.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
10,03b06c4e4461e514e2e5e9498aa26689700929a8106490e3b99e52de68e73a285f,,,lnd,590281,0,1,0,40342.0,11859.0,9713.0,"{'force': 1, 'mutual': 0, 'penalty': 0}"
11,02e7c10c5fcd09d66d9d05360a378350c2058dd119b71f73406858a1dd424b969f,02e7c10c5fcd09d66d9d,000000,lnd,565626,2,0,600000,72448.5,2314.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
12,027d67588e8164b4bc60f6715fe5ec1c07817ea2fb8d6fbb2296572d9a5a8e3d5f,shocking,8865df,lnd,620096,2,1,2050056,20609.666666666668,161.66666666666666,7230.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
13,02ce7adcbaf97f78592ffeabe71bf75e41a20fa15f255a4def2aeeb8297966f78c,,,lnd,518609,4,0,185000,118447.0,572.75,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
14,038e3df9357ed761f6a7d8f11965f04596aad906c55407e856167ea1e3ef9915d8,ristowski,,lnd,620518,0,1,0,1396.0,2649.0,2944.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
15,03b6f1cf87be5179451fa776a17ac96e4200ed0da9e433fe45cc1c72a87b3a4bbf,,,lnd,549306,1,0,23000,95929.0,4994.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
16,020e134172b3b78ca0d98ddc809df0517c6079a770344283771ac75d7ac7c90878,,,lnd,572669,0,2,0,1651.0,20999.0,17147.0,"{'force': 2, 'mutual': 0, 'penalty': 0}"
17,03fb62dc6978c13ec60913e60640369ccd5b0cfcf05f1997e3e57d6c1c46f42eb5,nodl-lnd-s010-018,000000,lnd,632717,1,0,100000,12518.0,10006.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
18,03cb5a20dfa5148803badcb35fa00f97d73a132ecacda441f484ddc300bbb2e1fe,blockstarters,68f442,eclair,544661,3,0,266892,100573.0,2056.6666666666665,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
19,02ce9b6d39235df33cf8b6b12064d83c82b0d4137272db812aa2fecf4b3d5f043d,nodl-lnd-s007-041,000000,lnd,627157,1,0,100000,18078.0,1226.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
